station_a,station_b,line
Woodford Underground Station,Buckhurst Hill Underground Station,central
Buckhurst Hill Underground Station,Loughton Underground Station,central
Loughton Underground Station,Debden Underground Station,central
Debden Underground Station,Theydon Bois Underground Station,central
Theydon Bois Underground Station,Epping Underground Station,central
Hainault Underground Station,Fairlop Underground Station,central
Fairlop Underground Station,Barkingside Underground Station,central
Barkingside Underground Station,Newbury Park Underground Station,central
Newbury Park Underground Station,Gants Hill Underground Station,central
Gants Hill Underground Station,Redbridge Underground Station,central
Redbridge Underground Station,Wanstead Underground Station,central
Wanstead Underground Station,Leytonstone Underground Station,central
Hainault Underground Station,Grange Hill Underground Station,central
Grange Hill Underground Station,Chigwell Underground Station,central
Chigwell Underground Station,Roding Valley Underground Station,central
Roding Valley Underground Station,Woodford Underground Station,central
Leytonstone Underground Station,Wanstead Underground Station,central
Wanstead Underground Station,Redbridge Underground Station,central
Redbridge Underground Station,Gants Hill Underground Station,central
Gants Hill Underground Station,Newbury Park Underground Station,central
Newbury Park Underground Station,Barkingside Underground Station,central
Barkingside Underground Station,Fairlop Underground Station,central
Fairlop Underground Station,Hainault Underground Station,central
Woodford Underground Station,Roding Valley Underground Station,central
Roding Valley Underground Station,Chigwell Underground Station,central
Chigwell Underground Station,Grange Hill Underground Station,central
Grange Hill Underground Station,Hainault Underground Station,central
North Acton Underground Station,West Acton Underground Station,central
West Acton Underground Station,Ealing Broadway Underground Station,central
Ealing Broadway Underground Station,West Acton Underground Station,central
West Acton Underground Station,North Acton Underground Station,central
Edgware Road (Circle Line) Underground Station,Paddington Underground Station,circle
Paddington Underground Station,Bayswater Underground Station,circle
Bayswater Underground Station,Notting Hill Gate Underground Station,circle
Notting Hill Gate Underground Station,High Street Kensington Underground Station,circle
High Street Kensington Underground Station,Gloucester Road Underground Station,circle
Gloucester Road Underground Station,South Kensington Underground Station,circle
South Kensington Underground Station,Sloane Square Underground Station,circle
Sloane Square Underground Station,Victoria Underground Station,circle
Victoria Underground Station,St. James's Park Underground Station,circle
St. James's Park Underground Station,Westminster Underground Station,circle
Westminster Underground Station,Embankment Underground Station,circle
Embankment Underground Station,Temple Underground Station,circle
Temple Underground Station,Blackfriars Underground Station,circle
Blackfriars Underground Station,Mansion House Underground Station,circle
Mansion House Underground Station,Cannon Street Underground Station,circle
Cannon Street Underground Station,Monument Underground Station,circle
Monument Underground Station,Tower Hill Underground Station,circle
Tower Hill Underground Station,Aldgate Underground Station,circle
Aldgate Underground Station,Liverpool Street Underground Station,circle
Liverpool Street Underground Station,Moorgate Underground Station,circle
Moorgate Underground Station,Barbican Underground Station,circle
Barbican Underground Station,Farringdon Underground Station,circle
Farringdon Underground Station,King's Cross St. Pancras Underground Station,circle
King's Cross St. Pancras Underground Station,Euston Square Underground Station,circle
Euston Square Underground Station,Great Portland Street Underground Station,circle
Great Portland Street Underground Station,Baker Street Underground Station,circle
Baker Street Underground Station,Edgware Road (Circle Line) Underground Station,circle
Edgware Road (Circle Line) Underground Station,Paddington (H&C Line)-Underground,circle
Paddington (H&C Line)-Underground,Royal Oak Underground Station,circle
Royal Oak Underground Station,Westbourne Park Underground Station,circle
Westbourne Park Underground Station,Ladbroke Grove Underground Station,circle
Ladbroke Grove Underground Station,Latimer Road Underground Station,circle
Latimer Road Underground Station,Wood Lane Underground Station,circle
Wood Lane Underground Station,Shepherd's Bush Market Underground Station,circle
Shepherd's Bush Market Underground Station,Goldhawk Road Underground Station,circle
Goldhawk Road Underground Station,Hammersmith (H&C Line) Underground Station,circle
Hammersmith (H&C Line) Underground Station,Goldhawk Road Underground Station,circle
Goldhawk Road Underground Station,Shepherd's Bush Market Underground Station,circle
Shepherd's Bush Market Underground Station,Wood Lane Underground Station,circle
Wood Lane Underground Station,Latimer Road Underground Station,circle
Latimer Road Underground Station,Ladbroke Grove Underground Station,circle
Ladbroke Grove Underground Station,Westbourne Park Underground Station,circle
Westbourne Park Underground Station,Royal Oak Underground Station,circle
Royal Oak Underground Station,Paddington (H&C Line)-Underground,circle
Paddington (H&C Line)-Underground,Edgware Road (Circle Line) Underground Station,circle
